Year,Name,College,Position,Height (in),Weight (lbs),Wonderlic,40 Yard Dash,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle ,3Cone
1987,Brian Williams,Central Michigan,OT,78.9,293,,5.48,14,22,91,5,9.99
1987,Maurice Williams,Virginia Tech,RB,71.5,213,,4.77,13,28,104,4.57,9.99
1987,Perry Williams,Clemson,CB,73,203,,4.67,8,29,103,4.21,9.99
1987,Karl Wilson,Louisiana State,DE,76.5,258,,4.96,,25,111,4.56,9.99
1987,Frank Winters,Western Illinois,C,75,273,,5.1,20,25.5,100,4.79,9.99
1987,Carl Woods,Vanderbilt,RB,71,198,,4.6,11,27.5,106,4.19,9.99
1987,Tony Woods,Pittsburgh,DE,74.8,249,,4.85,18,29,115,4.55,9.99
1987,Rod Woodson,Purdue,CB,72,202,,4.33,10,36,125,3.98,9.99
1987,John Wooldridge,Ohio State,RB,68.4,193,,9.99,,,,9.99,9.99
1987,Dave Wyman,Stanford,ILB,74,235,,4.79,23,29,118,4.3,9.99
1987,Theo Young,Arkansas,TE,74,231,,4.89,9,30,107,4.2,9.99
1987,Jeff Zimmerman,Florida,OG,75.4,341,,5.36,22,22.5,,4.83,9.99
1988,Azizuddin Abdur-Raoof,Maryland,WR,72.5,199,,4.51,10,35.5,124,4.3,9.99
1988,Nacho Albergamo,Louisiana State,C,74.1,263,,5.46,24,28.5,107,4.64,9.99
1988,Thomas Aldridge,Texas,ILB,74.1,224,,4.83,8,30,105,4.65,9.99
1988,Mike Alexander,Penn State,WR,75.3,215,,4.57,11,25,104,4.57,9.99
1988,Eric Allen,Arizona State,CB,69.8,181,,4.46,14,30.5,112,4.19,9.99
1988,Marvin Allen,Tulane (LA),RB,69.8,213,,4.55,15,31,110,4.54,9.99
1988,O'Brien Alston,Maryland,DE,78.1,239,,4.92,13,30.5,111,4.6,9.99
1988,JR Ambrose,Mississippi,WR,72.1,186,,4.58,8,,,9.99,9.99
1988,Flipper Anderson,UCLA,WR,71.6,169,,4.45,4,35.5,117,4.31,9.99
1988,Eric Andolsek,Louisiana State,OG,73.8,281,,5.09,25,27.5,108,4.76,9.99
1988,Tolbert Bain,Miami (FL),SS,73.6,197,,4.7,12,30,112,4.5,9.99
1988,Michael Ball,Southern (LA),SS,72.5,211,,4.67,18,,,9.99,9.99
1988,Tony Bartley,Texas A&M,OG,76.3,287,,5.2,15,25,99,9.99,9.99
1988,Trey Bauer,Penn State,ILB,72.9,215,,4.98,12,27,102,4.5,9.99
1988,John Baylor,Southern Mississippi,CB,71.8,192,,4.59,,30.5,120,4.1,9.99
1988,Sanjay Beach,Colorado State,WR,72.4,189,,4.61,12,33,117,4.34,9.99
1988,Brad Beckman,Nebraska-Omaha,TE,74.6,236,,4.71,6,33,115,4.25,9.99
1988,Brian Bedford,California,WR,75.4,214,,4.57,13,33.5,118,4.4,9.99
1988,Kerwin Bell,Florida,QB,74.1,200,,5.07,,28.5,102,4.63,9.99
1988,Barry Belli,Frenso State (CA),K,69.1,167,,9.99,18,,,9.99,9.99
1988,J.J. Birden,Oregon,WR,69.4,157,,4.45,7,38,126,4.16,9.99
1988,Bennie Blades,Miami (FL),SS,72.6,216,,4.53,15,33,121,4.18,9.99
1988,Brian Blades,Miami (FL),WR,71.1,182,,4.48,13,,,9.99,9.99
1988,John Booty,Texas Christian,CB,72.5,177,,4.65,11,34.5,126,4.43,9.99
1988,Timothy Borcky,Memphis,OT,79.3,294,,5.4,28,,,9.99,9.99
1988,John Brantley,Georgia,OLB,73.9,229,,4.83,22,30,106,4.51,9.99
1988,Michael Brim,Virginia Union,CB,71.6,186,,4.44,9,30,114,4.2,9.99
1988,Henry Brown,Florida,DT,74.6,251,,4.99,17,30,105,4.64,9.99
1988,Phillip Brown,Alabama,OLB,73.9,230,,4.64,19,34,115,4.37,9.99
1988,Selwyn Brown,Miami (FL),SS,71.3,206,,4.69,20,30.5,117,4.35,9.99
1988,Tim Brown,Notre Dame,WR,72,193,,4.39,,,,9.99,9.99
1988,Vincent Brown,Mississippi Valley State,OLB,73.1,245,,4.86,24,32,112,4.68,9.99
